Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,123,0,67,195.27269982850194,51.44599999766797,15554.580792027991,23.73170731707317,2.077386001537058,0.0,67,72,78,80,84,88,110,120,16000,16000,16000
,Aggregated,123,0,67,195.27269982850194,51.44599999766797,15554.580792027991,23.73170731707317,2.077386001537058,0.0,67,72,78,80,84,88,110,120,16000,16000,16000
