Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,9171,0,310.0,333.4533129312697,48.64312498830259,3103.6368749919347,23.6519463526333,153.98754181669017,0.0,310,330,350,370,400,440,500,930,2700,3100,3100
,Aggregated,9171,0,310.0,333.4533129312697,48.64312498830259,3103.6368749919347,23.6519463526333,153.98754181669017,0.0,310,330,350,370,400,440,500,930,2700,3100,3100
