Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,13922,0,80,119.33933530951448,47.45962499873713,1042.5554999965243,23.664559689699757,116.71359958166182,0.0,80,94,120,160,260,330,420,470,650,850,1000
,Aggregated,13922,0,80,119.33933530951448,47.45962499873713,1042.5554999965243,23.664559689699757,116.71359958166182,0.0,80,94,120,160,260,330,420,470,650,850,1000
