Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,166,0,61,60.08359389582997,39.482332998886704,281.07583295786753,23.542168674698797,2.811830708821368,0.0,61,62,62,63,65,68,88,130,280,280,280
,Aggregated,166,0,61,60.08359389582997,39.482332998886704,281.07583295786753,23.542168674698797,2.811830708821368,0.0,61,62,62,63,65,68,88,130,280,280,280
