Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,6801,0,70,89.58406679966045,49.881417013239115,28226.31325002294,23.63431848257609,22.739053656058704,0.0,70,76,80,83,94,170,260,310,890,28000,28000
,Aggregated,6801,0,70,89.58406679966045,49.881417013239115,28226.31325002294,23.63431848257609,22.739053656058704,0.0,70,76,80,83,94,170,260,310,890,28000,28000
