Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,3935,0,150.0,164.85458216044148,37.640625028871,886.856125027407,23.626683608640406,21.179126082514983,0.0,150,190,220,240,280,320,380,440,790,890,890
,Aggregated,3935,0,150.0,164.85458216044148,37.640625028871,886.856125027407,23.626683608640406,21.179126082514983,0.0,150,190,220,240,280,320,380,440,790,890,890
